"","y1","y2","y3","conc","ABS","smp","Tests"
"78","0.9594502","1.0441286","1.0000000","0.00","1.455","Standard 0","Sep15"
"79","0.2532646","0.2756171","0.2639685","5.00","0.342","Standard 5","Sep156"
"80","0.3154639","0.3433059","0.3287966","2.00","0.432","Standard 4","Sep156"
"81","0.4663230","0.5074794","0.4860315","1.00","0.720","Standard 3","Sep156"
"82","0.6859107","0.7464473","0.7148997","0.40","0.917","Standard 2","Sep156"
"83","0.8171821","0.8893044","0.8517192","0.15","1.140","Standard 1","Sep156"
"84","0.9594502","1.0441286","1.0000000","0.00","1.455","Standard 0","Sep156"
"85","0.2983752","0.2921186","0.2952137","5.00","0.373","Standard 5","Sep22"
"86","0.3618907","0.3543022","0.3580563","2.00","0.501","Standard 4","Sep22"
"87","0.5018464","0.4913232","0.4965290","1.00","0.695","Standard 3","Sep22"
"88","0.6879616","0.6735358","0.6806723","0.40","0.986","Standard 2","Sep22"
"89","0.7965288","0.7798265","0.7880891","0.15","1.079","Standard 1","Sep22"
"90","1.0107090","0.9895155","1.0000000","0.00","1.354","Standard 0","Sep22"
"91","0.4362140","0.3680556","0.3992467","5.00","0.107","Standard 5","Sep29"
"92","0.5020576","0.4236111","0.4595104","2.00","0.121","Standard 4","Sep29"
"93","0.6646091","0.5607639","0.6082863","1.00","0.161","Standard 3","Sep29"
"94","0.7880658","0.6649306","0.7212806","0.40","0.196","Standard 2","Sep29"
"95","0.9917695","0.8368056","0.9077213","0.15","0.234","Standard 1","Sep29"
"96","1.0925926","0.9218750","1.0000000","0.00","0.243","Standard 0","Sep29"
"97","0.2702845","0.2166385","0.2405063","5.00","0.243","Standard 5","UT"
"98","0.3598525","0.2884291","0.3202063","2.00","0.346","Standard 4","UT"
"99","0.5021075","0.4024493","0.4467886","1.00","0.402","Standard 3","UT"
"100","0.6733404","0.5396959","0.5991561","0.40","0.569","Standard 2","UT"
"101","0.8703899","0.6976351","0.7744960","0.15","0.750","Standard 1","UT"
"102","1.1238145","0.9007601","1.0000000","0.00","0.949","Standard 0","UT"
"103","0.2554152","0.2710728","0.2630112","5.00","0.421","Standard 5","OSU"
"104","0.3628159","0.3850575","0.3736059","2.00","0.622","Standard 4","OSU"
"105","0.4064380","0.4313538","0.4185254","1.00","0.709","Standard 3","OSU"
"106","0.5719013","0.6069604","0.5889095","0.40","0.924","Standard 2","OSU"
"107","0.7969314","0.8457854","0.8206320","0.15","1.320","Standard 1","OSU"
"108","0.9711191","1.0306513","1.0000000","0.00","1.662","Standard 0","OSU"
"109","0.3571004","0.3091564","0.3314034","5.00","0.588","Standard 5","BIM"
"110","0.4622698","0.4002058","0.4290047","2.00","0.758","Standard 4","BIM"
"111","0.5632799","0.4876543","0.5227461","1.00","0.890","Standard 3","BIM"
"112","0.7988711","0.6916152","0.7413841","0.40","1.298","Standard 2","BIM"
"113","1.0124777","0.8765432","0.9396195","0.15","1.629","Standard 1","BIM"
"114","1.0775401","0.9328704","1.0000000","0.00","1.683","Standard 0","BIM"
"115","0.2325581","0.2534113","0.2425373","5.00","0.280","Standard 5","KIJul21"
"116","0.3063506","0.3338207","0.3194963","2.00","0.340","Standard 4","KIJul21"
"117","0.4096601","0.4463938","0.4272388","1.00","0.457","Standard 3","KIJul21"
"118","0.6077818","0.6622807","0.6338619","0.40","0.661","Standard 2","KIJul21"
"119","0.8135063","0.8864522","0.8484142","0.15","0.899","Standard 1","KIJul21"
"120","0.9588551","1.0448343","1.0000000","0.00","1.118","Standard 0","KIJul21"
"121","0.2545455","0.2545455","0.2545455","5.00","0.316","Standard 5","Katie"
"122","0.3103306","0.3103306","0.3103306","2.00","0.383","Standard 4","Katie"
"123","0.4388430","0.4388430","0.4388430","1.00","0.523","Standard 3","Katie"
"124","0.5041322","0.5041322","0.5041322","0.40","0.610","Standard 2","Katie"
"125","0.5933884","0.5933884","0.5933884","0.15","0.744","Standard 1","Katie"
"126","1.0000000","1.0000000","1.0000000","0.00","1.210","Standard 0","Katie"
