"","y1","y2","y3","conc","ABS","smp","Tests"
"82","1.1338432","1.1848152","1.1587689",NA,"1.052","Katie#1","Jul22"
"83","1.0277247","1.0739261","1.0503175",NA,"1.183","Katie#2","Jul22"
"84","1.0855641","1.1343656","1.1094284",NA,"1.051","Katie#3","Jul22"
"85","1.0267686","1.0729271","1.0493405",NA,"1.166","Katie#10","Jul22"
"86","0.9326004","0.9745255","0.9531021",NA,"1.018","Katie#11","Jul22"
"87","0.9326004","0.9745255","0.9531021",NA,"1.001","Katie#12","Jul22"
"88","1.0267686","1.0729271","1.0493405",NA,"1.038","SL36","Jul22"
"89","1.1338432","1.1848152","1.1587689",NA,"1.096","Katie#1","Jul22"
"90","1.0277247","1.0739261","1.0503175",NA,"1.189","Katie#2","Jul22"
"91","1.0855641","1.1343656","1.1094284",NA,"1.099","Katie#3","Jul22"
"92","1.0267686","1.0729271","1.0493405",NA,"1.105","Katie#10","Jul22"
"93","0.9326004","0.9745255","0.9531021",NA,"1.130","Katie#11","Jul22"
"94","0.9326004","0.9745255","0.9531021",NA,"0.950","Katie#12","Jul22"
"95","0.2561419","0.2339983","0.2445699","5.00","0.269","Standard 5","Aug04"
"96","0.3921747","0.3582710","0.3744570","2.00","0.406","Standard 4","Aug04"
"97","0.4995450","0.4563591","0.4769765","1.00","0.515","Standard 3","Aug04"
"98","0.6519563","0.5955943","0.6225022","0.40","0.676","Standard 2","Aug04"
"99","0.8139217","0.7435578","0.7771503","0.15","0.843","Standard 1","Aug04"
"100","1.0473157","0.9567747","1.0000000","0.00","1.099","Standard 0","Aug04"
"101","0.5414013","0.4945968","0.5169418",NA,"0.576","Positive Control","Aug04"
"102","0.9372157","0.8561929","0.8948740",NA,"1.064","PIB F","Aug04"
"103","0.2561419","0.2339983","0.2445699","5.00","0.294","Standard 5","Aug04"
"104","0.3921747","0.3582710","0.3744570","2.00","0.456","Standard 4","Aug04"
"105","0.4995450","0.4563591","0.4769765","1.00","0.583","Standard 3","Aug04"
"106","0.6519563","0.5955943","0.6225022","0.40","0.757","Standard 2","Aug04"
"107","0.8139217","0.7435578","0.7771503","0.15","0.946","Standard 1","Aug04"
"108","1.0473157","0.9567747","1.0000000","0.00","1.203","Standard 0","Aug04"
"109","0.5414013","0.4945968","0.5169418",NA,"0.614","Positive Control","Aug04"
"110","0.9372157","0.8561929","0.8948740",NA,"0.996","PIB F","Aug04"
"111","0.9194722","0.8399834","0.8779322",NA,"1.052","PIB R","Aug04"
"112","0.9708826","0.8869493","0.9270200",NA,"0.929","LEU F","Aug04"
"113","1.0964513","1.0016625","1.0469157",NA,"1.101","LEU F#2","Aug04"
"114","0.7256597","0.6629260","0.6928758",NA,"0.769","LEU R","Aug04"
"115","0.9162875","0.8370740","0.8748914",NA,"0.943","KI F","Aug04"
"116","0.9931756","0.9073150","0.9483058",NA,"1.052","KI R","Aug04"
"117","0.9608735","0.8778055","0.9174631",NA,"1.063","CP F","Aug04"
"118","0.8535032","0.7797174","0.8149435",NA,"0.909","CP R","Aug04"
"119","0.9194722","0.8399834","0.8779322",NA,"0.969","PIB R","Aug04"
"120","0.9708826","0.8869493","0.9270200",NA,"1.205","LEU F","Aug04"
"121","1.0964513","1.0016625","1.0469157",NA,"1.309","LEU F#2","Aug04"
"122","0.7256597","0.6629260","0.6928758",NA,"0.826","LEU R","Aug04"
